raw_file,geometry,VCASB,description
run105061971_250307080150.raw,tb0,64,align
run105061959_250307062010.raw,tb0,100,n
run105061960_250307062835.raw,tb0,97,n
run105061961_250307063706.raw,tb0,94,n
run105061962_250307064537.raw,tb0,91,n
run105061963_250307065407.raw,tb0,88,n
run105114844_250307133202.raw,tb1,70,align
run105114832_250307114844.raw,tb1,106,n
run105114833_250307115719.raw,tb1,103,n
run105114834_250307120559.raw,tb1,100,n
run105114835_250307121441.raw,tb1,97,n
run105114836_250307122322.raw,tb1,94,n
run105142144_250307152353.raw,tb2,73,align
run105140941_250307140953.raw,tb2,109,n
run105142133_250307142144.raw,tb2,106,n
run105142134_250307142715.raw,tb2,103,n
run105153532_250307153543.raw,tb2,100,n
run105142136_250307143836.raw,tb2,97,n
run105171149_250307181247.raw,tb3,67,align
run105171136_250307171148.raw,tb3,106,n
run105171137_250307171638.raw,tb3,103,n
run105171138_250307172119.raw,tb3,100,n
run105171139_250307172559.raw,tb3,97,n
run105171140_250307173040.raw,tb3,94,n
