Detector,VCASB,efficiency,efficiency_errorup,efficiency_errorlow,residualsX,residualsX_error,residualsY,residualsY_error,spatialres,spatialres_error,clustersize,clustersize_error
tb2,73,0.8915,0.004942166335260123,0.005142865293431553,6.983459518594103,0.08478804103018156,7.18631330971944,0.09207674501550978,6.6659044126622735,0.06650986929720186,1.107122826696579,0.006099377776423762
tb2,91,0.9532417449987949,0.0032856740548358188,0.0035121671009357147,6.859435411469177,0.07718244647112282,6.9155923859959865,0.07825395038879579,6.455829826096031,0.05863086354775302,1.1673830594184575,0.007437206903983299
tb2,103,0.9815936062000484,0.002091422058510095,0.002338190915690652,6.741634520216517,0.07642699455326074,6.766413070087868,0.07803258565165816,6.31322542309684,0.058425504651005954,1.230446582778189,0.008406111652264028
tb2,82,0.923114237205918,0.004164978885647597,0.004376198449341673,6.982976127641223,0.08171768122794143,6.923192538866753,0.08274016240318982,6.5257383403799345,0.06195413226316103,1.1266421439831844,0.006956284973306156
tb2,79,0.9196149217809868,0.0042347328179235255,0.0044424508967311205,7.104069133932943,0.087145851210356,6.8528172597434205,0.07863786549409468,6.552598836469327,0.062492547067748566,1.1384454331326879,0.007317459747673985
tb2,106,0.9827416173570019,0.0020439928856544887,0.0022963730837448626,6.840157298176194,0.0813278257219574,6.683213176849019,0.07839363547842204,6.321352662460035,0.060411559410118734,1.2247867536377322,0.008254578948694274
tb2,85,0.9323570432357043,0.003841930133084759,0.004049011518586942,6.836907133893286,0.0842563203930804,6.9171070363236575,0.0783809302758316,6.444610417538901,0.06140289634402198,1.1533283470456246,0.007159721720245629
tb2,94,0.9601780855800148,0.0030815562143524655,0.0033183304143080683,6.907504139139468,0.08340709905906873,6.888995106943143,0.08223406906957598,6.46728970026156,0.06246687279071489,1.184956208140134,0.007462383769163578
tb2,100,0.976318359375,0.0023772485398844134,0.0026217614301683456,6.847151603761853,0.08076829750448145,6.893849474282116,0.08224979760696671,6.437678299322053,0.06151272631964933,1.2003000750187547,0.008058687526998407
tb2,97,0.9626235833132385,0.0029509841566736084,0.0031832089828734977,6.8896318757430235,0.07863593087362108,6.9006919004598695,0.07885838817812685,6.463996693021821,0.059396873475698865,1.1953907815631262,0.007563285246541013
tb2,76,0.9107534747622531,0.004471168887393073,0.004676947718623925,6.8713291993146415,0.08543983272950895,6.978381973209167,0.08634388258990677,6.495631896825985,0.06474880705382799,1.1362784471218206,0.007456549214790166
tb2,88,0.9470514429109159,0.0035573496742781208,0.0037896272863786606,6.916608253502634,0.08268118157251614,7.124428248585562,0.0865039123761071,6.597442482587654,0.06366461994237296,1.1650768415474297,0.007861007476758115
tb3,91,0.9968162083936324,0.0009444401114848677,0.0012754456151078397,6.969529075816065,0.09583332083080442,6.711822869234974,0.0893638873326319,6.405662817371033,0.06995764909269565,1.3072009291521487,0.009859343802630425
tb3,85,0.9902043101035545,0.0016422332738140755,0.001939936308629986,6.995186647472485,0.09303312957028709,7.001691494997687,0.09141163061677204,6.574051112057695,0.06942353244733754,1.2659694742792538,0.009695701616911365
tb3,97,0.9977521775779713,0.0007774895265572068,0.0011066367784073883,6.479160323461157,0.08676064286633256,6.445340403076409,0.08291673153916657,6.000052833644823,0.06462661617111659,1.4060827935792735,0.011714565131858722
tb3,94,0.9970326409495549,0.0008802841539651274,0.0011889222437599933,6.5265715863127,0.08622906330678815,6.693944970926924,0.08480445062905106,6.159094974253044,0.06490523271671593,1.3582251082251082,0.010996005055427785
tb3,70,0.9566767205922676,0.0033789766234938456,0.0036395725918325628,7.112454336050844,0.08905401467260354,7.145235743030795,0.09154835203678768,6.712704168650112,0.06781696524591065,1.1627973631413013,0.007405165717270187
tb3,73,0.971737323358271,0.0027615073649650546,0.0030360364588090105,7.172909843718606,0.09189449298918717,7.153265515002081,0.09137460324768076,6.749060149565004,0.06877057509566575,1.1919019104647848,0.008194355937331357
tb3,79,0.9833379616773119,0.0021314236065496095,0.002417333715951542,6.877985826095928,0.08646867221127597,7.155063410219735,0.09507745536793344,6.59310802036166,0.06837240648414374,1.2290313470770968,0.00890925487351293
tb3,88,0.9913383626711372,0.0015427154188905057,0.0018420551052125145,6.766288879658961,0.08980828566547983,6.96419956259495,0.09325452264706158,6.431968168813514,0.06909180641599627,1.2998872604284104,0.010142332651382507
tb3,67,0.9386552370747389,0.0039405177249289824,0.004183517195128883,7.202217191317354,0.09567965473266815,7.069069845952257,0.08690520714949601,6.719884153544244,0.06861960556469374,1.1327054794520548,0.0067733368704614326
tb3,82,0.987324331771838,0.0018534929931341981,0.0021419885545114203,6.881725850934758,0.08711317961013743,6.828429474195328,0.08626055886545814,6.421214102907177,0.06543914100920457,1.244208763605917,0.009023546641033477
tb3,76,0.9753530877873166,0.002581775641292472,0.0028591651728641088,7.006165249955361,0.08898746760693799,7.028912985282189,0.09079769751796185,6.5943792832978305,0.06764568468819215,1.1970471323111869,0.008106919545831228
tb3,67,0.956150027578599,0.00340847628758445,0.003670249427322303,7.057994769606429,0.09084981054399943,7.25265663940561,0.0960661890283272,6.740733252283084,0.07017188574788252,1.1661378713585233,0.007600132701343713
tb1,82,0.9635511585524603,0.0030293073671687765,0.003281044627918117,6.812326220197071,0.08060918980920384,7.068285803539034,0.08666780200708502,6.511959914305843,0.06306496907731104,1.1988651715752499,0.008264835212438008
tb1,88,0.9782107152012305,0.002338162019376533,0.002596764849392752,6.810486681086026,0.0814240330457725,6.8023234042863026,0.08219312675468471,6.3692344312040134,0.061818659623372636,1.2230083857442349,0.008398917946515849
tb1,73,0.944684090332403,0.0036521592436732364,0.003885666282755662,7.015604072477473,0.0849348650691577,6.94312239102482,0.08264325412905249,6.553726800964455,0.06310067507145133,1.144238517324738,0.00663146473200147
tb1,103,0.998237219843868,0.0006498589815262523,0.0009481660894609112,6.359129272816638,0.07489075141060741,6.356167834456841,0.07535109463895306,5.887248488656551,0.05736304727044246,1.3559535822401614,0.010549458190625818
tb1,79,0.9603174603174603,0.0030805500178163747,0.0033180700433977917,6.850808724619472,0.08089009679248393,6.813155400147584,0.07575011375120955,6.396556026725196,0.05918095641621418,1.1769111570247934,0.007900595942552505
tb1,91,0.9845588235294118,0.0019287303170826275,0.0021813337225711216,6.605635461170654,0.07776359030586644,6.8556200015914355,0.08157576958256163,6.288010242588059,0.06031357020190707,1.2354991287030122,0.008078993680710517
tb1,94,0.9894925679138903,0.0016281297927780436,0.0018987222142921034,6.726326179309536,0.08342120174898637,6.753065187520869,0.08244759038199545,6.297894247084415,0.06275868926012777,1.2872312872312872,0.009985662541482468
tb1,76,0.9566060606060606,0.0031794343715135787,0.0034092561520567832,6.9147484305485944,0.0832365842016558,6.90540967848782,0.0821537729696935,6.479906600313326,0.0623574395741591,1.151799290420679,0.006959040938766667
