Detector,VCASB,efficiency,efficiency_errorup,efficiency_errorlow,residualsX,residualsX_error,residualsY,residualsY_error,spatialres,spatialres_error,clustersize,clustersize_error
bb3,79,0.9938946015424165,0.0013857236342694756,0.0017396663130316847,6.0646350111618865,0.08434744021383356,6.203732161031177,0.09140757016644407,5.645115928819795,0.0675675471106251,1.22664080181054,0.009110966691439414
bb3,73,0.989443378119002,0.0018217058665775943,0.002162247914678561,6.025653672156503,0.08447365724575207,6.06558114159435,0.08911996543198653,5.548821070242685,0.06689151006959218,1.2214678305851923,0.00956526901536
bb3,88,0.9961026307242611,0.0011081176347522703,0.001476957724843353,6.187349547513549,0.09629323619226282,6.007202323423059,0.08593928421592834,5.6049340657727065,0.07018348286481711,1.2771437887186174,0.010323162666183853
bb3,64,0.9782330345710627,0.0026108483976632346,0.0029357598156217746,6.215931243434752,0.08991749737463284,6.174438786948921,0.09182592982493931,5.71141325518041,0.06970354057289084,1.193717277486911,0.0095251147826577
bb3,82,0.9941249226963512,0.0013335400698339939,0.0016742881080780148,6.058129601099155,0.09238990768651067,6.080300455890253,0.08755552999546756,5.57452673186142,0.0692923484210483,1.256298600311042,0.009908579125783152
bb3,76,0.9909208819714657,0.0017003757852707135,0.0020489640909786555,6.12148799578307,0.09017249934784743,6.228786222528163,0.08976632319861988,5.689622671216542,0.06904854779534739,1.25065445026178,0.011278585370319056
bb3,91,0.9979818365287588,0.000800232286974567,0.001203452893679735,6.258519853267996,0.10229917923775123,6.150234604908767,0.09254781824641167,5.721344328619802,0.07478814793245676,1.300303336703741,0.011276670001326186
bb3,61,0.9782469609724888,0.0026091923284959906,0.0029339052357798545,6.309428046093141,0.09295344110441262,6.215045412536314,0.08991075481634958,5.784049221906129,0.07000481189856722,1.1837802485284499,0.008815454955778797
bb3,70,0.9881486226777707,0.0019314522297859682,0.0022700203265476615,6.258090350511936,0.09901746530531064,6.140386016740758,0.08984723541932027,5.715762707917822,0.07249691769654455,1.206807131280389,0.010373060420626632
bb3,67,0.984037558685446,0.002214619230446635,0.002538986932371534,6.365470912291746,0.09374464314062703,6.214462893513021,0.09090153088753627,5.814009979950865,0.07063263646859641,1.184796437659033,0.00818137181447766
bb3,85,0.9956589147286822,0.0011448639340464473,0.0014934178553441813,6.245078462033111,0.09537193957063161,5.984152616011377,0.08508829674447682,5.62364841808342,0.06946170326980104,1.271877919651199,0.010128165738757834
bb3,94,0.9977834072197593,0.0008170877652547981,0.0011918464597381329,5.82132438455605,0.08641345923362165,6.1029702294845745,0.09323702833258274,5.457413553093977,0.06942599320528489,1.3313233894001903,0.01138121670563208
bb2,100,0.9997242140099283,0.0002281440529980916,0.0006338887167022245,5.470745472338382,0.07097701006812995,5.425103632385331,0.07322061020561321,4.890782812141408,0.05679819005986588,1.4300689655172414,0.011528666586635962
bb2,88,0.9955898566703418,0.0010895492383715677,0.0013969925342938172,5.839093347935367,0.0773045318028216,5.844361861172315,0.07787446065295711,5.325953435461035,0.06017755407111945,1.2776854928017718,0.01016657682419863
bb2,82,0.9914990082176254,0.0015389658825486485,0.0018430592607016072,5.933894018967357,0.07670707744766503,6.098896925964993,0.08122340949450901,5.516858350192404,0.060911379805762784,1.2300657330665905,0.00922460176777754
bb2,73,0.9780941949616648,0.002422755471675031,0.0026993639411703185,6.214053008714513,0.07885599521228759,6.002385894949812,0.07860818994908136,5.616787261897285,0.06054663513987864,1.1707726763717805,0.007877785659324987
bb2,103,0.99971870604782,0.00023270053962243242,0.0006465427843034277,5.55140410092067,0.07778945799210346,5.240282177825349,0.06851923436186524,4.832095538030178,0.057842929098067625,1.4690489589195272,0.01256164796612376
bb2,79,0.9862783534024083,0.001943632309680643,0.0022355636381481414,6.178037448053143,0.08243824475673822,6.1351233116452075,0.07962374372880276,5.669514923610224,0.062228177950997866,1.2126632595116411,0.008554319300155403
bb2,94,0.9986134220743206,0.0005987892882808321,0.0009369221728128263,5.646677851108981,0.07556204290962487,5.7804958657689856,0.07829418962228374,5.184989436679109,0.059948412509722104,1.335184670924743,0.011053853263583538
bb2,76,0.9852691218130312,0.002025036263672897,0.0023191739217373053,6.404827083495603,0.08838095518787847,5.961774524176576,0.07807166841148261,5.697761730002622,0.06395534637625473,1.1923519263944795,0.008154248227505342
bb2,91,0.9977753058954394,0.000769493498532392,0.0010952693070479524,5.830274070581997,0.0736566563307588,5.729066993154128,0.07353628408908452,5.257761676654274,0.05720738937640837,1.3074136008918618,0.010450289034489016
bb2,70,0.9727100783572008,0.0026807058456513877,0.002949021001864449,6.101638789893932,0.07959508712511676,6.207087768728117,0.07958752589506535,5.667070562127705,0.06111987593836591,1.1713888888888888,0.007989446431805781
bb2,85,0.9939890710382514,0.0012693511066155239,0.0015681690104869528,5.897090434493033,0.07410517614117351,5.8321374851650996,0.0711993783102951,5.351026510773309,0.05631285267824787,1.242715777899945,0.008798970307376553
bb2,97,0.9991431019708654,0.0004663185069501141,0.0008328247986117976,5.640798040657235,0.07715773349145127,5.71002843768234,0.07681995947846065,5.142961645801704,0.060076588383418617,1.3773584905660377,0.01133419883823828
bb0,79,0.9820026178010471,0.002402977650163063,0.002739864918774315,5.916319880273444,0.09065106821887614,5.974363760618938,0.09097066580296831,5.4393864895844715,0.07018617225697735,1.2122625791402866,0.010323377987832743
bb0,88,0.9940397350993377,0.0013892568930350402,0.001755115114442929,6.166334452209632,0.09253871115476331,6.209984083072044,0.09165627744590354,5.703790913740465,0.07065444594278435,1.2544970019986676,0.00996868094348819
